symbol,date,open,high,low,close,volume
SPY,2010-06-17,84.139923,84.177395,83.218194,84.035011,263185800
SPY,2010-06-18,84.201422,84.427301,83.855070,84.126129,174006600
SPY,2010-06-21,85.172714,85.232945,83.418360,83.885185,213140700
SPY,2010-06-22,83.885209,84.254149,82.379326,82.499794,239355400
SPY,2010-06-23,82.552462,82.846109,81.679053,82.243759,254639900
SPY,2010-06-24,81.837205,81.942616,80.670144,80.880966,268523600
SPY,2010-06-25,81.121909,81.633910,80.391555,81.219795,238726500
SPY,2010-06-28,81.340262,81.558615,80.670144,80.963791,169218600
SPY,2010-06-29,79.826811,80.948697,77.967051,78.463989,373649500
SPY,2010-06-30,78.245646,78.968469,77.462587,77.718590,284101700
SPY,2010-07-01,77.665885,77.921882,76.144940,77.372238,382924800
SPY,2010-07-02,77.635764,77.869174,76.513883,76.950584,233385200
SPY,2010-07-06,78.034833,78.584482,76.709655,77.455070,256935300
SPY,2010-07-07,77.650840,79.992488,77.568016,79.894608,253769400
SPY,2010-07-08,80.564745,80.775568,79.744042,80.685219,210842100
SPY,2010-07-09,80.662571,81.295045,80.511985,81.287514,144999900
SPY,2010-07-12,81.016468,81.498350,80.677647,81.340233,131283600
SPY,2010-07-13,82.183541,82.891302,82.017893,82.567543,213025900
SPY,2010-07-14,82.304010,82.883778,81.965189,82.560013,184426800
SPY,2010-07-15,82.529883,82.868704,81.445645,82.582588,232337900
SPY,2010-07-16,82.138373,82.228728,80.150608,80.308731,282693400
SPY,2010-07-19,80.602369,81.039071,79.977426,80.783073,186709000
SPY,2010-07-20,79.713892,81.739300,79.676243,81.679070,258162400
SPY,2010-07-21,82.100704,82.123291,80.286113,80.617409,264527000
SPY,2010-07-22,81.573658,82.778368,81.566132,82.416954,274781300
SPY,2010-07-23,82.251287,83.252700,82.017877,83.132233,222020800
SPY,2010-07-26,83.275308,84.080955,83.041898,83.998131,184445700
SPY,2010-07-27,84.457420,84.547776,83.659305,83.990601,204855600
SPY,2010-07-28,83.817418,84.073421,83.169888,83.448479,163056200
SPY,2010-07-29,83.968038,84.193923,82.379337,83.041924,220149100
SPY,2010-07-30,82.198598,83.471071,82.055543,83.026833,220070600
SPY,2010-08-02,84.321897,85.037194,83.983075,84.901665,188263200
SPY,2010-08-03,84.690845,84.909193,84.216489,84.495079,146657300
SPY,2010-08-04,84.728465,85.165172,84.449881,85.059761,158171700
